日付,到着時刻,定刻,遅延(分),状況,系統,バス停名,ナンバー,バス会社
2026/08/10,07:00,06:59,1,定時,89,阿波根（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:00,06:57,3,定時,89,赤嶺駅前（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:00,06:58,2,定時,89,公園前（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:00,06:59,1,定時,89,那覇バスターミナル　おりば G,沖縄230あ 1365,沖縄バス
2026/08/10,07:01,07:01,0,定時,89,旭橋・那覇バスターミナル　のりば１０,沖縄200か912,琉球バス交通
2026/08/10,07:03,07:00,3,定時,89,翁長（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:03,07:00,3,定時,89,翁長入口（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:03,06:58,5,遅延 +5分,89,赤嶺安里原（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:03,07:03,0,定時,89,旭町（開南・国場向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:04,07:01,3,定時,89,小禄駅前（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:05,07:05,0,定時,89,糸満市役所入口（那覇・米須・高嶺向け）,沖縄200か 931,沖縄バス
2026/08/10,07:05,07:02,3,定時,89,豊見城南高校前（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:05,07:10,-5,早着 -5分,89,西壷川（開南・国場向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:05,07:02,3,定時,89,田原（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:05,07:05,0,定時,89,壺川（開南・国場向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:06,07:03,3,定時,89,与根入口（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:06,07:07,-1,定時,89,糸満ロータリー（那覇・沖水向け）,沖縄200か 931,沖縄バス
2026/08/10,07:06,07:03,3,定時,89,座安入口（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:06,07:01,5,遅延 +5分,89,那覇西高校前（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:06,07:06,0,定時,89,農協会館前（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:07,07:04,3,定時,89,伊良波（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:08,07:08,0,定時,89,白銀堂前（那覇・沖水向け）,沖縄200か 931,沖縄バス
2026/08/10,07:08,07:07,1,定時,89,与儀小学校前（那覇バスターミナル向け）,沖縄200か1691,琉球バス交通
2026/08/10,07:08,07:09,-1,定時,89,糸満入口（那覇・沖水向け）,沖縄200か 931,沖縄バス
2026/08/10,07:09,07:05,4,遅延 +4分,89,我那覇（那覇方面）,沖縄200か996,琉球バス交通
2026/08/10,07:09,07:11,-2,早着 -2分,89,金城（那覇バスターミナル向け）,沖縄230あ 1362,沖縄バス
2026/08/10,07:09,07:10,-1,定時,89,糸満バスターミナル（那覇・米須・高嶺向け）,沖縄200か908,琉球バス交通
2026/08/10,07:09,07:08,1,定時,89,与儀十字路（那覇署前　牧志駅・おもろまち方面）,沖縄200か1691,琉球バス交通
2026/08/10,07:10,07:06,4,遅延 +4分,89,名嘉地（那覇バスターミナル向け）,沖縄200か996,琉球バス交通
2026/08/10,07:10,07:10,0,定時,89,糸満市役所入口（那覇・米須・高嶺向け）,沖縄200か908,琉球バス交通
2026/08/10,07:10,07:11,-1,定時,89,西崎入口（那覇バスターミナル向け）,沖縄200か 931,沖縄バス
2026/08/10,07:11,07:13,-2,早着 -2分,89,潮平（那覇バスターミナル向け）,沖縄200か 931,沖縄バス
2026/08/10,07:11,07:07,4,遅延 +4分,89,軍桟橋前（那覇空港→旭橋方面）,沖縄230あ 1362,沖縄バス
2026/08/10,07:11,07:11,0,定時,89,開南（那覇バスターミナル・旭橋向け）,沖縄200か1691,琉球バス交通
